risk_lambda,mean,std,p95,p99,score_mean_plus_k_std,n_seeds
0.0,6.8743659543648885,401.9202444822765,667.2749968549355,933.2684629229614,207.83448819550313,5
0.005,36.45955393398059,57.76706341590708,131.22452480479558,171.3002791516436,65.34308564193412,5
0.01,47.73635218429482,40.92413955216285,114.95387919227683,143.37883991332308,68.19842196037625,5
0.015,54.81764299747954,32.687042715067356,108.51245234459364,130.82975789962478,71.16116435501321,5
0.02,59.6963116365269,28.003768304560566,105.90514940931664,124.97537794754712,73.69819578880718,5
0.03,67.12714136855713,21.433425654763575,102.4608367222454,117.22930821408177,77.84385419593892,5
0.05,75.19074852888441,15.138585238003822,100.0673424356157,110.40025684858388,82.76004114788633,5
0.08,82.66989022334701,10.05386748740456,99.1772802831795,106.04631032629655,87.69682396704928,5
0.1,85.83507745622258,8.065392133410345,99.08683941050592,104.597754330304,89.86777352292775,5
0.15,89.23747818180827,5.997894794057928,99.15742727359476,103.27311741275545,92.23642557883724,5
0.2,90.93623181817307,4.998245661714938,99.20285606132795,102.63259784396269,93.43535464903054,5
0.3,94.447739090904,2.9989473970289664,99.40771363679711,101.46555870637782,95.94721278941847,5
