pair_id,parameter_id,validation_total_return,resolved_config
BNO/OIH,"{""entry_z"":2.0,""formation_days"":126}",0.014499022265738626,"{""block_reentry_after_max_hold"":false,""entry_z"":2.0,""exit_z"":0.5,""formation_days"":126,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""BNO"",""ticker_b"":""OIH""}"
BNO/USO,"{""entry_z"":1.5,""formation_days"":252}",0.0004826604603067608,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":252,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""BNO"",""ticker_b"":""USO""}"
BNO/XES,"{""entry_z"":1.5,""formation_days"":126}",0.017843260718409804,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":126,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""BNO"",""ticker_b"":""XES""}"
BNO/XLE,"{""entry_z"":1.5,""formation_days"":252}",0.013354387345318575,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":252,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""BNO"",""ticker_b"":""XLE""}"
BNO/XOP,"{""entry_z"":1.5,""formation_days"":252}",0.014221691767343669,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":252,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""BNO"",""ticker_b"":""XOP""}"
OIH/USO,"{""entry_z"":1.5,""formation_days"":126}",0.014726948585982669,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":126,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""OIH"",""ticker_b"":""USO""}"
OIH/XES,"{""entry_z"":1.5,""formation_days"":252}",-5.8109358126223754e-05,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":252,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""OIH"",""ticker_b"":""XES""}"
OIH/XLE,"{""entry_z"":2.0,""formation_days"":252}",0.0017000225973504701,"{""block_reentry_after_max_hold"":false,""entry_z"":2.0,""exit_z"":0.5,""formation_days"":252,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""OIH"",""ticker_b"":""XLE""}"
OIH/XOP,"{""entry_z"":2.0,""formation_days"":126}",0.0097041954400045594,"{""block_reentry_after_max_hold"":false,""entry_z"":2.0,""exit_z"":0.5,""formation_days"":126,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""OIH"",""ticker_b"":""XOP""}"
USO/XES,"{""entry_z"":1.5,""formation_days"":252}",0.019817015935214677,"{""block_reentry_after_max_hold"":false,""entry_z"":1.5,""exit_z"":0.5,""formation_days"":252,""gross_notional_per_trade"":10000,""initial_capital"":100000,""max_holding_sessions"":20,""require_regime_allowed"":false,""require_rolling_pass"":false,""round_trip_cost_bps"":4.0,""stop_z"":3.0,""ticker_a"":""USO"",""ticker_b"":""XES""}"
